datetime,datetimeEpoch,temp,feelslike,humidity,dew,precip,precipprob,snow,snowdepth,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,tzoffset,severerisk,INDEX_NR,INCIDENT_DATE,INCIDENT_MONTH,INCIDENT_YEAR,TIME,TIME_OF_DAY,AIRPORT_ID,AIRPORT,LATITUDE,LONGITUDE,STATE,FAAREGION,OPID,OPERATOR,AIRCRAFT,TYPE_ENG,NUM_ENGS,ENG_1_POS,ENG_2_POS,PHASE_OF_FLIGHT,COST_REPAIRS,COST_OTHER,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,SPECIES_ID,SPECIES,REMAINS_COLLECTED,NUM_SEEN,NUM_STRUCK,SIZE,NR_INJURIES,NR_FATALITIES,SOURCE,STATE_NAME,STRIKE_COUNT
2020-01-01,1577896200.0,40.46666666666666,36.93333333333333,51.28083333333333,22.958333333333332,0.0,0.0,0.0,0.0,20.3,6.704166666666668,278.7083333333333,1010.6208333333334,9.900000000000004,39.77500000000002,75.6375,0.26666666666666666,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-02,1577982600.0,38.58333333333333,36.00833333333334,63.425416666666685,26.33749999999999,0.0,0.0,0.0,0.0,,4.879166666666667,189.16666666666666,1013.7833333333334,9.900000000000004,49.675000000000004,67.62083333333334,0.2416666666666667,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-03,1578069000.0,49.11250000000001,47.55833333333334,85.96000000000002,44.76666666666666,0.013291666666666669,54.166666666666664,0.0,0.0,,5.375,175.83333333333334,1009.8125,8.079166666666667,79.94999999999999,26.891666666666666,0.09166666666666667,0.20833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-04,1578155400.0,51.40833333333333,49.84583333333333,86.90749999999998,47.46666666666667,0.015625,37.5,0.0,0.0,24.400000000000002,6.058333333333334,195.0,1004.6208333333333,5.854166666666668,68.32916666666664,24.224999999999998,0.08749999999999998,0.20833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-05,1578241800.0,37.470833333333324,30.504166666666663,60.467499999999994,24.774999999999995,0.0,0.0,0.0,0.0,27.01875,13.075000000000001,279.1666666666667,1015.9083333333332,9.900000000000004,65.73333333333333,56.208333333333336,0.20833333333333334,0.5833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-06,1578328200.0,39.67916666666668,36.62916666666667,56.285833333333336,23.47916666666667,0.0,0.0,0.0020833333333333333,0.06624999999999999,23.016666666666666,7.233333333333334,238.75,1017.3333333333334,9.900000000000004,43.854166666666686,77.57083333333334,0.27499999999999997,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-07,1578414600.0,31.825000000000003,27.641666666666666,75.66375000000001,24.579166666666666,0.013374999999999998,25.0,0.03500000000000001,0.56125,,4.845833333333333,187.20833333333334,1016.5583333333335,7.245833333333334,65.24166666666667,18.104166666666668,0.06250000000000001,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-08,1578501000.0,33.466666666666676,26.549999999999997,65.26416666666665,21.729166666666668,0.0,0.0,0.01875,1.1925,24.877777777777776,9.458333333333334,223.75,1021.3333333333334,9.850000000000003,27.52916666666667,52.8125,0.18333333333333335,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-09,1578587400.0,31.90416666666667,26.062499999999996,51.56499999999999,15.862499999999999,0.0,0.0,0.0,0.1137499999999999,,6.395833333333333,144.29166666666666,1038.6458333333333,9.900000000000004,37.65,80.54166666666667,0.3,0.7916666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-10,1578673800.0,44.925000000000004,41.833333333333336,67.57666666666667,34.800000000000004,0.0,0.0,0.0,0.00375,18.76666666666667,8.058333333333332,174.45833333333334,1033.1291666666664,9.900000000000004,66.81666666666668,37.925000000000004,0.13333333333333333,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-11,1578760200.0,61.14166666666667,61.10833333333334,75.93791666666668,53.35833333333332,0.0,0.0,0.0,0.0,30.178571428571434,12.3125,181.66666666666666,1021.4375,9.850000000000003,54.29583333333334,40.975,0.14583333333333334,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-12,1578846600.0,61.15416666666667,60.80833333333334,64.33583333333334,48.01666666666668,0.016375,25.0,0.0,0.0,23.146666666666665,11.475000000000001,257.0833333333333,1020.0166666666668,9.825000000000005,39.52500000000001,74.86666666666666,0.26666666666666666,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-13,1578933000.0,43.78333333333333,42.04166666666666,76.97583333333333,36.79166666666667,0.0,0.0,0.0,0.0,,3.4125000000000014,192.91666666666666,1028.05,9.900000000000004,73.27083333333334,43.050000000000004,0.1625,0.4583333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-14,1579019400.0,44.32916666666666,43.39166666666667,91.45125000000002,41.983333333333334,0.0035,20.833333333333332,0.0,0.0,,1.9708333333333332,151.16666666666666,1023.5374999999999,4.9541666666666675,93.50416666666668,14.841666666666667,0.05416666666666667,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
